用户ID,Top10推荐视频ID,对应推荐概率
user_001,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_003,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_010,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_012,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_016,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_019,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_023,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_031,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_034,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_040,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_047,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_056,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_064,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_069,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_070,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_071,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_073,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_074,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_076,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_077,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_078,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_079,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_080,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_083,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_085,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_087,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_091,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_094,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_102,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_105,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_125,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_132,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_149,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_155,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_156,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_173,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_174,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_181,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_183,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_186,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_194,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_195,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_205,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_210,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_212,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_239,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_263,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_269,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_278,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
user_279,"1078657045,1422590022,-41222059,59703299,-2054225912,-1362427864,-1643184109,97189901,-1194655700,1821311043","0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333"
