user_id,content_category,behavior_weight_enhanced,total_prefer_score,cate_prefer_ratio
user_001,其他,1.9000000000000001,1.9000000000000001,1.0
user_002,其他,1.8,1.8,1.0
user_003,其他,2.1,2.1,1.0
user_004,其他,2.2,2.2,1.0
user_005,其他,4.4,4.4,1.0
user_006,其他,2.4,2.4,1.0
user_007,其他,2.4,2.4,1.0
user_008,其他,2.8000000000000003,2.8000000000000003,1.0
user_009,其他,1.1,1.1,1.0
user_010,其他,2.4,2.4,1.0
user_011,其他,1.8,1.8,1.0
user_012,其他,1.4,1.4,1.0
user_013,其他,5.1,5.1,1.0
user_014,其他,1.6,1.6,1.0
user_015,其他,2.5,3.0,0.8333333333333334
user_015,舞台,0.5,3.0,0.16666666666666666
user_016,其他,5.1,5.1,1.0
user_017,其他,2.6,2.6,1.0
user_018,其他,1.0,1.0,1.0
user_019,其他,3.9000000000000004,3.9000000000000004,1.0
user_020,其他,3.0,3.0,1.0
user_021,其他,3.2,3.2,1.0
user_022,其他,3.2,3.2,1.0
user_023,其他,1.9,1.9,1.0
user_024,其他,4.1,4.1,1.0
user_025,其他,3.3,3.3,1.0
user_026,其他,1.2,1.2,1.0
user_027,其他,3.4,3.4,1.0
user_028,其他,6.7,6.7,1.0
user_029,其他,3.0,3.0,1.0
user_030,其他,3.0,3.0,1.0
user_031,其他,3.9,3.9,1.0
user_032,其他,1.8000000000000003,1.8000000000000003,1.0
user_033,其他,4.5,4.5,1.0
user_034,其他,0.7000000000000001,0.7000000000000001,1.0
user_035,其他,1.8,1.8,1.0
user_036,其他,3.6,3.6,1.0
user_037,其他,1.6,1.6,1.0
user_038,其他,0.6000000000000001,0.6000000000000001,1.0
user_039,其他,0.7000000000000001,0.7000000000000001,1.0
user_040,其他,5.2,5.2,1.0
user_041,其他,2.1,2.1,1.0
user_042,其他,2.9,2.9,1.0
user_043,其他,2.2,2.2,1.0
user_044,其他,2.7,2.7,1.0
user_045,其他,3.1,3.1,1.0
user_046,其他,2.1,2.1,1.0
user_047,其他,1.6,1.6,1.0
user_048,其他,3.1,3.1,1.0
user_049,其他,4.9,4.9,1.0
user_050,其他,1.1,1.1,1.0
user_051,其他,4.4,4.4,1.0
user_052,其他,1.3,1.3,1.0
user_053,其他,3.4,3.4,1.0
user_054,其他,2.2,2.2,1.0
user_055,其他,3.1,3.1,1.0
user_056,其他,2.0,2.0,1.0
user_057,其他,4.7,4.7,1.0
user_058,其他,2.9,2.9,1.0
user_059,其他,4.6,4.6,1.0
user_060,其他,4.3,4.3,1.0
user_061,其他,0.7000000000000001,0.7000000000000001,1.0
user_062,其他,4.2,4.2,1.0
user_063,其他,1.8,1.8,1.0
user_064,其他,4.4,4.4,1.0
user_065,其他,1.7,1.7,1.0
user_066,其他,7.5,7.5,1.0
user_067,其他,0.6000000000000001,0.6000000000000001,1.0
user_068,其他,3.0,3.0,1.0
user_069,其他,4.2,4.2,1.0
user_070,其他,5.7,5.7,1.0
user_071,其他,3.3000000000000003,3.3000000000000003,1.0
user_072,其他,1.9000000000000001,1.9000000000000001,1.0
user_073,其他,4.4,4.4,1.0
user_074,其他,4.2,4.2,1.0
user_075,其他,2.5,2.5,1.0
user_076,其他,6.5,6.5,1.0
user_077,其他,8.7,8.7,1.0
user_078,其他,10.4,10.4,1.0
user_079,其他,7.9,7.9,1.0
user_080,其他,9.1,9.1,1.0
user_081,其他,10.2,10.2,1.0
user_082,其他,11.3,11.3,1.0
user_083,其他,7.5,7.5,1.0
user_084,其他,8.700000000000001,8.700000000000001,1.0
user_085,其他,9.5,9.5,1.0
user_086,其他,11.8,11.8,1.0
user_087,其他,9.1,9.1,1.0
user_088,其他,8.2,8.299999999999999,0.9879518072289157
user_088,舞台,0.1,8.299999999999999,0.01204819277108434
user_089,其他,8.7,8.799999999999999,0.9886363636363636
user_089,舞台,0.1,8.799999999999999,0.011363636363636366
user_090,其他,7.9,7.9,1.0
user_091,其他,8.4,8.4,1.0
user_092,其他,6.9,6.9,1.0
user_093,其他,13.200000000000001,13.200000000000001,1.0
user_094,其他,9.5,9.5,1.0
user_095,其他,9.4,9.4,1.0
user_096,其他,7.7,7.7,1.0
user_097,其他,6.2,6.2,1.0
user_098,其他,6.6000000000000005,6.7,0.9850746268656717
user_098,舞台,0.1,6.7,0.014925373134328358
user_099,其他,11.6,11.6,1.0
user_100,其他,13.5,13.5,1.0
user_101,其他,7.6000000000000005,7.6000000000000005,1.0
user_102,其他,11.5,11.5,1.0
user_103,其他,10.8,10.8,1.0
user_104,其他,9.3,9.3,1.0
user_105,其他,12.4,12.4,1.0
user_106,其他,7.3,7.3,1.0
user_107,其他,10.3,10.3,1.0
user_108,其他,9.3,9.3,1.0
user_109,其他,6.800000000000001,6.800000000000001,1.0
user_110,其他,10.8,10.8,1.0
user_111,其他,11.2,11.2,1.0
user_112,其他,9.1,9.1,1.0
user_113,其他,8.9,8.9,1.0
user_114,其他,13.8,13.8,1.0
user_115,其他,7.0,7.0,1.0
user_116,其他,9.8,9.8,1.0
user_117,其他,8.1,8.1,1.0
user_118,其他,13.7,13.7,1.0
user_119,其他,15.5,15.6,0.9935897435897436
user_119,舞台,0.1,15.6,0.006410256410256411
user_120,其他,12.8,12.8,1.0
user_121,其他,8.8,8.8,1.0
user_122,其他,10.4,10.4,1.0
user_123,其他,8.0,8.0,1.0
user_124,其他,11.3,11.3,1.0
user_125,其他,12.3,12.3,1.0
user_126,舞台,9.5,9.5,1.0
user_127,舞台,11.6,11.6,1.0
user_128,舞台,8.3,8.3,1.0
user_129,舞台,11.5,11.5,1.0
user_130,舞台,9.5,9.5,1.0
user_131,舞台,7.3,7.3,1.0
user_132,舞台,7.8,7.8,1.0
user_133,舞台,13.5,13.5,1.0
user_134,舞台,11.6,11.6,1.0
user_135,舞台,10.7,10.7,1.0
user_136,舞台,11.3,11.3,1.0
user_137,舞台,7.5,7.5,1.0
user_138,舞台,8.2,8.2,1.0
user_139,舞台,13.1,13.1,1.0
user_140,舞台,12.2,12.2,1.0
user_141,舞台,11.4,11.4,1.0
user_142,舞台,10.700000000000001,10.700000000000001,1.0
user_143,舞台,5.3,5.3,1.0
user_144,舞台,8.1,8.1,1.0
user_145,舞台,10.5,10.5,1.0
user_146,舞台,6.7,6.7,1.0
user_147,舞台,13.1,13.1,1.0
user_148,舞台,7.6,7.6,1.0
user_149,舞台,6.6,6.6,1.0
user_150,舞台,10.6,10.6,1.0
user_151,舞台,7.5,7.5,1.0
user_152,舞台,8.8,8.8,1.0
user_153,舞台,7.4,7.4,1.0
user_154,舞台,6.4,6.4,1.0
user_155,舞台,10.8,10.8,1.0
user_156,舞台,7.8,7.8,1.0
user_157,舞台,7.6000000000000005,7.6000000000000005,1.0
user_158,舞台,10.2,10.2,1.0
user_159,舞台,8.5,8.5,1.0
user_160,舞台,8.3,8.3,1.0
user_161,舞台,8.700000000000001,8.700000000000001,1.0
user_162,舞台,9.8,9.8,1.0
user_163,舞台,11.3,11.3,1.0
user_164,舞台,9.2,9.2,1.0
user_165,舞台,9.700000000000001,9.700000000000001,1.0
user_166,舞台,11.8,11.8,1.0
user_167,舞台,13.200000000000001,13.200000000000001,1.0
user_168,舞台,9.6,9.6,1.0
user_169,舞台,10.9,10.9,1.0
user_170,舞台,7.8,7.8,1.0
user_171,舞台,5.8,5.8,1.0
user_172,舞台,11.4,11.4,1.0
user_173,舞台,10.5,10.5,1.0
user_174,舞台,12.6,12.6,1.0
user_175,舞台,6.8,6.8,1.0
user_176,舞台,8.5,8.5,1.0
user_177,舞台,9.5,9.5,1.0
user_178,舞台,10.8,10.8,1.0
user_179,舞台,7.8,7.8,1.0
user_180,舞台,11.3,11.3,1.0
user_181,舞台,6.1000000000000005,6.1000000000000005,1.0
user_182,舞台,10.4,10.4,1.0
user_183,舞台,8.8,8.8,1.0
user_184,舞台,13.1,13.1,1.0
user_185,舞台,10.4,10.4,1.0
user_186,舞台,9.7,9.7,1.0
user_187,舞台,9.3,9.3,1.0
user_188,舞台,10.6,10.6,1.0
user_189,舞台,8.0,8.0,1.0
user_190,舞台,15.8,15.8,1.0
user_191,舞台,12.0,12.0,1.0
user_192,舞台,12.200000000000001,12.200000000000001,1.0
user_193,舞台,8.6,8.6,1.0
user_194,舞台,9.9,9.9,1.0
user_195,舞台,10.200000000000001,10.200000000000001,1.0
user_196,舞台,7.8,7.8,1.0
user_197,舞台,11.8,11.8,1.0
user_198,舞台,11.2,11.2,1.0
user_199,舞台,12.4,12.4,1.0
user_200,舞台,6.0,6.0,1.0
user_201,舞台,7.7,7.7,1.0
user_202,舞台,11.7,11.7,1.0
user_203,舞台,9.1,9.1,1.0
user_204,舞台,9.9,9.9,1.0
user_205,舞台,11.6,11.6,1.0
user_206,舞台,8.9,8.9,1.0
user_207,舞台,10.8,10.8,1.0
user_208,舞台,8.5,8.5,1.0
user_209,舞台,6.7,6.7,1.0
user_210,舞台,9.2,9.2,1.0
user_211,舞台,7.0,7.0,1.0
user_212,舞台,10.9,10.9,1.0
user_213,舞台,5.2,5.2,1.0
user_214,舞台,8.8,8.8,1.0
user_215,舞台,11.9,11.9,1.0
user_216,舞台,6.1,6.1,1.0
user_217,舞台,12.2,12.2,1.0
user_218,舞台,10.0,10.0,1.0
user_219,舞台,8.6,8.6,1.0
user_220,舞台,12.200000000000001,12.200000000000001,1.0
user_221,舞台,12.8,12.8,1.0
user_222,舞台,7.5,7.5,1.0
user_223,舞台,9.4,9.4,1.0
user_224,舞台,11.6,11.6,1.0
user_225,舞台,9.200000000000001,9.200000000000001,1.0
user_226,舞台,6.1,6.1,1.0
user_227,舞台,10.0,10.0,1.0
user_228,舞台,7.8999999999999995,7.8999999999999995,1.0
user_229,舞台,6.5,6.5,1.0
user_230,舞台,5.7,5.7,1.0
user_231,舞台,8.7,8.7,1.0
user_232,舞台,6.9,6.9,1.0
user_233,舞台,10.4,10.4,1.0
user_234,舞台,8.0,8.0,1.0
user_235,舞台,8.1,8.1,1.0
user_236,舞台,10.2,10.2,1.0
user_237,舞台,12.0,12.0,1.0
user_238,舞台,5.0,5.0,1.0
user_239,舞台,12.3,12.3,1.0
user_240,舞台,13.200000000000001,13.200000000000001,1.0
user_241,舞台,12.2,12.2,1.0
user_242,舞台,12.8,12.8,1.0
user_243,舞台,9.5,9.5,1.0
user_244,舞台,9.5,9.5,1.0
user_245,舞台,10.4,10.4,1.0
user_246,舞台,12.200000000000001,12.200000000000001,1.0
user_247,舞台,9.4,9.4,1.0
user_248,舞台,8.8,8.8,1.0
user_249,舞台,11.2,11.2,1.0
user_250,舞台,10.1,10.1,1.0
user_251,影视,16.1,16.1,1.0
user_252,影视,9.5,9.5,1.0
user_253,影视,9.600000000000001,9.600000000000001,1.0
user_254,影视,6.6000000000000005,6.6000000000000005,1.0
user_255,影视,14.9,14.9,1.0
user_256,影视,10.4,10.4,1.0
user_257,影视,11.8,11.8,1.0
user_258,影视,15.100000000000001,15.100000000000001,1.0
user_259,影视,9.600000000000001,9.600000000000001,1.0
user_260,影视,14.5,14.5,1.0
user_261,影视,6.0,6.0,1.0
user_262,影视,16.0,16.0,1.0
user_263,影视,20.400000000000002,20.400000000000002,1.0
user_264,影视,13.5,13.5,1.0
user_265,影视,7.800000000000001,7.800000000000001,1.0
user_266,影视,11.200000000000001,11.200000000000001,1.0
user_267,影视,15.8,15.8,1.0
user_268,影视,17.1,17.1,1.0
user_269,影视,15.8,15.8,1.0
user_270,影视,10.9,10.9,1.0
user_271,影视,12.0,12.0,1.0
user_272,影视,12.0,12.0,1.0
user_273,影视,11.200000000000001,11.200000000000001,1.0
user_274,影视,9.700000000000001,9.700000000000001,1.0
user_275,影视,13.200000000000001,13.200000000000001,1.0
user_276,影视,10.700000000000001,10.700000000000001,1.0
user_277,影视,10.5,10.5,1.0
user_278,影视,16.3,16.3,1.0
user_279,影视,7.7,7.7,1.0
user_280,影视,9.700000000000001,9.700000000000001,1.0
user_281,影视,16.1,16.1,1.0
user_282,影视,11.4,11.4,1.0
user_283,影视,17.6,17.6,1.0
user_284,影视,18.3,18.3,1.0
user_285,影视,13.4,13.4,1.0
user_286,影视,8.8,8.8,1.0
user_287,影视,20.3,20.3,1.0
user_288,影视,15.4,15.4,1.0
user_289,影视,13.100000000000001,13.100000000000001,1.0
user_290,影视,16.1,16.1,1.0
user_291,影视,8.8,8.8,1.0
user_292,影视,9.8,9.8,1.0
user_293,影视,13.200000000000001,13.200000000000001,1.0
user_294,影视,18.400000000000002,18.400000000000002,1.0
user_295,影视,11.4,11.4,1.0
user_296,影视,13.4,13.4,1.0
user_297,影视,6.1000000000000005,6.1000000000000005,1.0
user_298,影视,11.8,11.8,1.0
user_299,影视,15.3,15.3,1.0
user_300,影视,14.8,14.8,1.0
user_301,影视,16.400000000000002,16.400000000000002,1.0
user_302,影视,14.100000000000001,14.100000000000001,1.0
user_303,影视,10.3,10.3,1.0
user_304,影视,17.0,17.0,1.0
user_305,影视,9.1,9.1,1.0
user_306,影视,18.0,18.0,1.0
user_307,影视,13.200000000000001,13.200000000000001,1.0
user_308,影视,13.9,13.9,1.0
user_309,影视,13.5,13.5,1.0
user_310,影视,12.8,12.8,1.0
user_311,影视,12.3,12.3,1.0
user_312,影视,15.0,15.0,1.0
user_313,影视,19.6,19.6,1.0
user_314,影视,13.1,13.1,1.0
user_315,影视,11.8,11.8,1.0
user_316,影视,20.2,20.2,1.0
user_317,影视,9.700000000000001,9.700000000000001,1.0
user_318,影视,13.4,13.4,1.0
user_319,影视,14.600000000000001,14.600000000000001,1.0
user_320,影视,17.900000000000002,17.900000000000002,1.0
user_321,影视,10.4,10.4,1.0
user_322,影视,15.3,15.3,1.0
user_323,影视,12.700000000000001,12.700000000000001,1.0
user_324,影视,10.7,10.7,1.0
user_325,影视,13.600000000000001,13.600000000000001,1.0
user_326,影视,10.9,10.9,1.0
user_327,影视,9.700000000000001,9.700000000000001,1.0
user_328,影视,6.1000000000000005,6.1000000000000005,1.0
user_329,影视,11.3,11.3,1.0
user_330,影视,8.4,8.4,1.0
user_331,影视,10.1,10.1,1.0
user_332,影视,11.0,11.0,1.0
user_333,影视,14.5,14.5,1.0
user_334,影视,8.7,8.7,1.0
user_335,影视,13.9,13.9,1.0
user_336,影视,14.200000000000001,14.200000000000001,1.0
user_337,影视,11.4,11.4,1.0
user_338,影视,13.200000000000001,13.200000000000001,1.0
user_339,影视,13.700000000000001,13.700000000000001,1.0
user_340,影视,15.4,15.4,1.0
user_341,影视,7.1000000000000005,7.1000000000000005,1.0
user_342,影视,9.8,9.8,1.0
user_343,影视,10.1,10.1,1.0
user_344,影视,14.9,14.9,1.0
user_345,影视,16.400000000000002,16.400000000000002,1.0
user_346,影视,10.700000000000001,10.700000000000001,1.0
user_347,影视,14.700000000000001,14.700000000000001,1.0
user_348,影视,10.8,10.8,1.0
user_349,影视,10.4,10.4,1.0
user_350,影视,12.8,12.8,1.0
user_351,影视,13.3,13.3,1.0
user_352,影视,15.3,15.3,1.0
user_353,影视,8.3,8.3,1.0
user_354,影视,16.3,16.3,1.0
user_355,影视,15.200000000000001,15.200000000000001,1.0
user_356,影视,13.8,13.8,1.0
user_357,影视,14.4,14.4,1.0
user_358,影视,9.6,9.6,1.0
user_359,影视,10.4,10.4,1.0
user_360,影视,18.5,18.5,1.0
user_361,影视,14.4,14.4,1.0
user_362,影视,13.8,13.8,1.0
user_363,影视,13.8,13.8,1.0
user_364,影视,18.8,18.8,1.0
user_365,影视,18.6,18.6,1.0
user_366,影视,11.4,11.4,1.0
user_367,影视,8.1,8.1,1.0
user_368,影视,19.2,19.2,1.0
user_369,影视,13.600000000000001,13.600000000000001,1.0
user_370,影视,20.3,20.3,1.0
user_371,影视,8.5,8.5,1.0
user_372,影视,12.5,12.5,1.0
user_373,影视,13.0,13.0,1.0
user_374,影视,11.5,11.5,1.0
user_375,影视,17.2,17.2,1.0
user_376,物料,13.3,13.3,1.0
user_377,物料,13.200000000000001,13.200000000000001,1.0
user_378,物料,12.5,12.5,1.0
user_379,物料,11.3,11.3,1.0
user_380,物料,9.7,9.7,1.0
user_381,物料,17.5,17.5,1.0
user_382,物料,10.700000000000001,10.700000000000001,1.0
user_383,物料,12.700000000000001,12.700000000000001,1.0
user_384,物料,8.5,8.5,1.0
user_385,物料,14.3,14.3,1.0
user_386,物料,13.9,13.9,1.0
user_387,物料,11.3,11.3,1.0
user_388,物料,20.0,20.0,1.0
user_389,物料,11.700000000000001,11.700000000000001,1.0
user_390,物料,13.4,13.4,1.0
user_391,物料,16.1,16.1,1.0
user_392,物料,9.8,9.8,1.0
user_393,物料,13.8,13.8,1.0
user_394,物料,17.1,17.1,1.0
user_395,物料,12.200000000000001,12.200000000000001,1.0
user_396,物料,7.3,7.3,1.0
user_397,物料,9.0,9.0,1.0
user_398,物料,6.5,6.5,1.0
user_399,物料,7.5,7.5,1.0
user_400,物料,8.7,8.7,1.0
user_401,物料,19.400000000000002,19.400000000000002,1.0
user_402,物料,17.900000000000002,17.900000000000002,1.0
user_403,物料,23.0,23.0,1.0
user_404,物料,20.0,20.0,1.0
user_405,物料,15.4,15.4,1.0
user_406,物料,23.3,23.3,1.0
user_407,物料,18.7,18.7,1.0
user_408,物料,20.5,20.5,1.0
user_409,物料,18.2,18.2,1.0
user_410,物料,17.6,17.6,1.0
user_411,物料,19.400000000000002,19.400000000000002,1.0
user_412,物料,18.0,18.0,1.0
user_413,物料,19.400000000000002,19.400000000000002,1.0
user_414,物料,14.4,14.4,1.0
user_415,物料,18.0,18.0,1.0
user_416,物料,18.1,18.1,1.0
user_417,物料,19.7,19.7,1.0
user_418,物料,15.7,15.7,1.0
user_419,物料,20.200000000000003,20.200000000000003,1.0
user_420,物料,13.0,13.0,1.0
user_421,物料,15.600000000000001,15.600000000000001,1.0
user_422,物料,26.5,26.5,1.0
user_423,物料,16.3,16.3,1.0
user_424,物料,11.5,11.5,1.0
user_425,物料,13.3,13.3,1.0
user_426,物料,18.6,18.6,1.0
user_427,物料,13.7,13.7,1.0
user_428,物料,24.6,24.6,1.0
user_429,物料,15.3,15.3,1.0
user_430,物料,15.700000000000001,15.700000000000001,1.0
user_431,物料,12.8,12.8,1.0
user_432,物料,12.5,12.5,1.0
user_433,物料,20.0,20.0,1.0
user_434,物料,16.5,16.5,1.0
user_435,物料,21.8,21.8,1.0
user_436,物料,16.1,16.1,1.0
user_437,物料,21.3,21.3,1.0
user_438,物料,17.0,17.0,1.0
user_439,物料,18.2,18.2,1.0
user_440,物料,16.900000000000002,16.900000000000002,1.0
user_441,物料,20.2,20.2,1.0
user_442,物料,19.3,19.3,1.0
user_443,物料,21.400000000000002,21.400000000000002,1.0
user_444,物料,19.7,19.7,1.0
user_445,物料,20.900000000000002,20.900000000000002,1.0
user_446,物料,12.700000000000001,12.700000000000001,1.0
user_447,物料,21.5,21.5,1.0
user_448,物料,15.700000000000001,15.700000000000001,1.0
user_449,物料,21.6,21.6,1.0
user_450,物料,20.1,20.1,1.0
user_451,物料,20.6,20.6,1.0
user_452,物料,18.5,18.5,1.0
user_453,物料,21.400000000000002,21.400000000000002,1.0
user_454,物料,12.4,12.4,1.0
user_455,物料,12.200000000000001,12.200000000000001,1.0
user_456,物料,14.0,14.0,1.0
user_457,物料,13.0,13.0,1.0
user_458,物料,19.5,19.5,1.0
user_459,物料,17.900000000000002,17.900000000000002,1.0
user_460,物料,16.8,16.8,1.0
user_461,物料,15.3,15.3,1.0
user_462,物料,16.6,16.6,1.0
user_463,物料,20.3,20.3,1.0
user_464,物料,22.400000000000002,22.400000000000002,1.0
user_465,物料,19.0,19.0,1.0
user_466,物料,14.100000000000001,14.100000000000001,1.0
user_467,物料,15.700000000000001,15.700000000000001,1.0
user_468,物料,13.6,13.6,1.0
user_469,物料,15.600000000000001,15.600000000000001,1.0
user_470,物料,20.6,20.6,1.0
user_471,物料,12.5,12.5,1.0
user_472,物料,14.9,14.9,1.0
user_473,物料,20.400000000000002,20.400000000000002,1.0
user_474,物料,24.5,24.5,1.0
user_475,物料,15.5,15.5,1.0
user_476,物料,17.8,17.8,1.0
user_477,物料,16.400000000000002,16.400000000000002,1.0
user_478,物料,21.900000000000002,21.900000000000002,1.0
user_479,物料,15.4,15.4,1.0
user_480,物料,18.8,18.8,1.0
user_481,物料,21.1,21.1,1.0
user_482,物料,16.8,16.8,1.0
user_483,物料,16.3,16.3,1.0
user_484,物料,18.5,18.5,1.0
user_485,物料,15.5,15.5,1.0
user_486,物料,19.5,19.5,1.0
user_487,物料,22.2,22.2,1.0
user_488,物料,15.700000000000001,15.700000000000001,1.0
user_489,物料,16.2,16.2,1.0
user_490,物料,19.2,19.2,1.0
user_491,物料,20.6,20.6,1.0
user_492,物料,17.400000000000002,17.400000000000002,1.0
user_493,物料,19.0,19.0,1.0
user_494,物料,16.400000000000002,16.400000000000002,1.0
user_495,物料,15.700000000000001,15.700000000000001,1.0
user_496,物料,17.900000000000002,17.900000000000002,1.0
user_497,物料,21.400000000000002,21.400000000000002,1.0
user_498,物料,17.3,17.3,1.0
user_499,物料,23.8,23.8,1.0
user_500,物料,11.0,11.0,1.0
